cl_nationality_gen_ord,cl_nationality_gen_en,cl_sex_gen_ord,cl_sex_gen_en,period,cl_quarter_gen_ord,cl_quarter_gen_en,cl_indicators_lf_en,cl_age_group_10_lf_en,obs_value,data_source,is_estimated
2.0,Non-Saudi,1.0,Male,2018,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,0.6,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,2.0,Female,2018,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,4.4,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,999.0,Total,2018,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,1.0,GASTAT_LFS_via_GLMM,False
999.0,Total,1.0,Male,2018,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,2.9,GASTAT_LFS_via_GLMM,False
999.0,Total,2.0,Female,2018,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,22.6,GASTAT_LFS_via_GLMM,False
999.0,Total,999.0,Total,2018,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,6.0,GASTAT_LFS_via_GLMM,False
1.0,Saudi,1.0,Male,2019,1.0,First Quarter,Unemployment rate by nationality and sex,Total,6.6,GASTAT_LFS_via_GLMM,False
1.0,Saudi,2.0,Female,2019,1.0,First Quarter,Unemployment rate by nationality and sex,Total,31.7,GASTAT_LFS_via_GLMM,False
1.0,Saudi,999.0,Total,2019,1.0,First Quarter,Unemployment rate by nationality and sex,Total,12.5,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,1.0,Male,2019,1.0,First Quarter,Unemployment rate by nationality and sex,Total,0.4,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,2.0,Female,2019,1.0,First Quarter,Unemployment rate by nationality and sex,Total,2.5,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,999.0,Total,2019,1.0,First Quarter,Unemployment rate by nationality and sex,Total,0.6,GASTAT_LFS_via_GLMM,False
999.0,Total,1.0,Male,2019,1.0,First Quarter,Unemployment rate by nationality and sex,Total,2.8,GASTAT_LFS_via_GLMM,False
999.0,Total,2.0,Female,2019,1.0,First Quarter,Unemployment rate by nationality and sex,Total,21.0,GASTAT_LFS_via_GLMM,False
999.0,Total,999.0,Total,2019,1.0,First Quarter,Unemployment rate by nationality and sex,Total,5.7,GASTAT_LFS_via_GLMM,False
1.0,Saudi,1.0,Male,2019,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,6.0,GASTAT_LFS_via_GLMM,False
1.0,Saudi,2.0,Female,2019,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,31.1,GASTAT_LFS_via_GLMM,False
1.0,Saudi,999.0,Total,2019,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,12.3,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,1.0,Male,2019,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,0.2,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,2.0,Female,2019,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,0.9,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,999.0,Total,2019,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,0.3,GASTAT_LFS_via_GLMM,False
999.0,Total,1.0,Male,2019,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,2.5,GASTAT_LFS_via_GLMM,False
999.0,Total,2.0,Female,2019,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,21.0,GASTAT_LFS_via_GLMM,False
999.0,Total,999.0,Total,2019,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,5.6,GASTAT_LFS_via_GLMM,False
1.0,Saudi,1.0,Male,2019,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,5.8,GASTAT_LFS_via_GLMM,False
1.0,Saudi,2.0,Female,2019,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,30.8,GASTAT_LFS_via_GLMM,False
1.0,Saudi,999.0,Total,2019,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,12.0,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,1.0,Male,2019,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,0.2,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,2.0,Female,2019,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,1.0,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,999.0,Total,2019,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,0.3,GASTAT_LFS_via_GLMM,False
999.0,Total,1.0,Male,2019,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,2.5,GASTAT_LFS_via_GLMM,False
999.0,Total,2.0,Female,2019,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,20.7,GASTAT_LFS_via_GLMM,False
999.0,Total,999.0,Total,2019,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,5.5,GASTAT_LFS_via_GLMM,False
1.0,Saudi,1.0,Male,2019,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,4.9,GASTAT_LFS_via_GLMM,False
1.0,Saudi,2.0,Female,2019,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,30.8,GASTAT_LFS_via_GLMM,False
1.0,Saudi,999.0,Total,2019,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,12.0,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,1.0,Male,2019,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,0.3,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,2.0,Female,2019,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,1.3,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,999.0,Total,2019,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,0.4,GASTAT_LFS_via_GLMM,False
999.0,Total,1.0,Male,2019,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,2.2,GASTAT_LFS_via_GLMM,False
999.0,Total,2.0,Female,2019,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,21.3,GASTAT_LFS_via_GLMM,False
999.0,Total,999.0,Total,2019,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,5.7,GASTAT_LFS_via_GLMM,False
1.0,Saudi,1.0,Male,2020,1.0,First Quarter,Unemployment rate by nationality and sex,Total,5.6,GASTAT_LFS_via_GLMM,False
1.0,Saudi,2.0,Female,2020,1.0,First Quarter,Unemployment rate by nationality and sex,Total,28.2,GASTAT_LFS_via_GLMM,False
1.0,Saudi,999.0,Total,2020,1.0,First Quarter,Unemployment rate by nationality and sex,Total,11.8,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,1.0,Male,2020,1.0,First Quarter,Unemployment rate by nationality and sex,Total,0.4,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,2.0,Female,2020,1.0,First Quarter,Unemployment rate by nationality and sex,Total,2.0,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,999.0,Total,2020,1.0,First Quarter,Unemployment rate by nationality and sex,Total,0.5,GASTAT_LFS_via_GLMM,False
999.0,Total,1.0,Male,2020,1.0,First Quarter,Unemployment rate by nationality and sex,Total,2.5,GASTAT_LFS_via_GLMM,False
999.0,Total,2.0,Female,2020,1.0,First Quarter,Unemployment rate by nationality and sex,Total,20.7,GASTAT_LFS_via_GLMM,False
999.0,Total,999.0,Total,2020,1.0,First Quarter,Unemployment rate by nationality and sex,Total,5.7,GASTAT_LFS_via_GLMM,False
1.0,Saudi,1.0,Male,2020,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,8.1,GASTAT_LFS_via_GLMM,False
1.0,Saudi,2.0,Female,2020,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,31.4,GASTAT_LFS_via_GLMM,False
1.0,Saudi,999.0,Total,2020,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,15.4,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,1.0,Male,2020,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,2.3,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,2.0,Female,2020,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,9.5,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,999.0,Total,2020,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,3.1,GASTAT_LFS_via_GLMM,False
999.0,Total,1.0,Male,2020,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,4.7,GASTAT_LFS_via_GLMM,False
999.0,Total,2.0,Female,2020,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,25.3,GASTAT_LFS_via_GLMM,False
999.0,Total,999.0,Total,2020,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,9.0,GASTAT_LFS_via_GLMM,False
1.0,Saudi,1.0,Male,2020,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,7.9,GASTAT_LFS_via_GLMM,False
1.0,Saudi,2.0,Female,2020,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,30.2,GASTAT_LFS_via_GLMM,False
1.0,Saudi,999.0,Total,2020,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,14.9,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,1.0,Male,2020,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,1.9,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,2.0,Female,2020,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,9.1,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,999.0,Total,2020,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,2.7,GASTAT_LFS_via_GLMM,False
999.0,Total,1.0,Male,2020,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,4.4,GASTAT_LFS_via_GLMM,False
999.0,Total,2.0,Female,2020,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,24.6,GASTAT_LFS_via_GLMM,False
999.0,Total,999.0,Total,2020,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,8.5,GASTAT_LFS_via_GLMM,False
1.0,Saudi,1.0,Male,2020,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,7.1,GASTAT_LFS_via_GLMM,False
1.0,Saudi,2.0,Female,2020,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,24.4,GASTAT_LFS_via_GLMM,False
1.0,Saudi,999.0,Total,2020,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,12.6,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,1.0,Male,2020,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,1.7,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,2.0,Female,2020,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,9.1,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,999.0,Total,2020,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,2.6,GASTAT_LFS_via_GLMM,False
999.0,Total,1.0,Male,2020,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,4.0,GASTAT_LFS_via_GLMM,False
999.0,Total,2.0,Female,2020,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,20.2,GASTAT_LFS_via_GLMM,False
999.0,Total,999.0,Total,2020,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,7.4,GASTAT_LFS_via_GLMM,False
1.0,Saudi,1.0,Male,2021,1.0,First Quarter,Unemployment rate by nationality and sex,Total,7.4,GASTAT_original_upload,False
1.0,Saudi,2.0,Female,2021,1.0,First Quarter,Unemployment rate by nationality and sex,Total,21.7,GASTAT_original_upload,False
1.0,Saudi,999.0,Total,2021,1.0,First Quarter,Unemployment rate by nationality and sex,Total,12.2,GASTAT_original_upload,False
2.0,Non-Saudi,1.0,Male,2021,1.0,First Quarter,Unemployment rate by nationality and sex,Total,1.5,GASTAT_original_upload,False
2.0,Non-Saudi,2.0,Female,2021,1.0,First Quarter,Unemployment rate by nationality and sex,Total,5.4,GASTAT_original_upload,False
2.0,Non-Saudi,999.0,Total,2021,1.0,First Quarter,Unemployment rate by nationality and sex,Total,1.9,GASTAT_original_upload,False
999.0,Total,1.0,Male,2021,1.0,First Quarter,Unemployment rate by nationality and sex,Total,3.4,GASTAT_original_upload,False
999.0,Total,2.0,Female,2021,1.0,First Quarter,Unemployment rate by nationality and sex,Total,16.4,GASTAT_original_upload,False
999.0,Total,999.0,Total,2021,1.0,First Quarter,Unemployment rate by nationality and sex,Total,5.8,GASTAT_original_upload,False
1.0,Saudi,1.0,Male,2021,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,6.4,GASTAT_original_upload,False
1.0,Saudi,2.0,Female,2021,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,22.7,GASTAT_original_upload,False
1.0,Saudi,999.0,Total,2021,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,11.8,GASTAT_original_upload,False
2.0,Non-Saudi,1.0,Male,2021,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,2.2,GASTAT_original_upload,False
2.0,Non-Saudi,2.0,Female,2021,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,6.7,GASTAT_original_upload,False
2.0,Non-Saudi,999.0,Total,2021,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,2.7,GASTAT_original_upload,False
999.0,Total,1.0,Male,2021,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,3.6,GASTAT_original_upload,False
999.0,Total,2.0,Female,2021,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,17.5,GASTAT_original_upload,False
999.0,Total,999.0,Total,2021,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,6.3,GASTAT_original_upload,False
1.0,Saudi,1.0,Male,2021,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,6.2,GASTAT_original_upload,False
1.0,Saudi,2.0,Female,2021,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,22.2,GASTAT_original_upload,False
1.0,Saudi,999.0,Total,2021,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,11.7,GASTAT_original_upload,False
2.0,Non-Saudi,1.0,Male,2021,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,1.7,GASTAT_original_upload,False
2.0,Non-Saudi,2.0,Female,2021,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,7.4,GASTAT_original_upload,False
2.0,Non-Saudi,999.0,Total,2021,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,2.3,GASTAT_original_upload,False
999.0,Total,1.0,Male,2021,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,3.2,GASTAT_original_upload,False
999.0,Total,2.0,Female,2021,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,17.4,GASTAT_original_upload,False
999.0,Total,999.0,Total,2021,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,6.1,GASTAT_original_upload,False
1.0,Saudi,1.0,Male,2021,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,5.4,GASTAT_original_upload,False
1.0,Saudi,2.0,Female,2021,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,22.9,GASTAT_original_upload,False
1.0,Saudi,999.0,Total,2021,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,11.5,GASTAT_original_upload,False
2.0,Non-Saudi,1.0,Male,2021,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,2.1,GASTAT_original_upload,False
2.0,Non-Saudi,2.0,Female,2021,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,9.3,GASTAT_original_upload,False
2.0,Non-Saudi,999.0,Total,2021,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,2.8,GASTAT_original_upload,False
999.0,Total,1.0,Male,2021,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,3.2,GASTAT_original_upload,False
999.0,Total,2.0,Female,2021,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,19.1,GASTAT_original_upload,False
999.0,Total,999.0,Total,2021,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,6.3,GASTAT_original_upload,False
1.0,Saudi,1.0,Male,2022,1.0,First Quarter,Unemployment rate by nationality and sex,Total,5.2,GASTAT_original_upload,False
1.0,Saudi,2.0,Female,2022,1.0,First Quarter,Unemployment rate by nationality and sex,Total,20.3,GASTAT_original_upload,False
1.0,Saudi,999.0,Total,2022,1.0,First Quarter,Unemployment rate by nationality and sex,Total,10.3,GASTAT_original_upload,False
2.0,Non-Saudi,1.0,Male,2022,1.0,First Quarter,Unemployment rate by nationality and sex,Total,1.9,GASTAT_original_upload,False
2.0,Non-Saudi,2.0,Female,2022,1.0,First Quarter,Unemployment rate by nationality and sex,Total,6.5,GASTAT_original_upload,False
2.0,Non-Saudi,999.0,Total,2022,1.0,First Quarter,Unemployment rate by nationality and sex,Total,2.3,GASTAT_original_upload,False
999.0,Total,1.0,Male,2022,1.0,First Quarter,Unemployment rate by nationality and sex,Total,2.9,GASTAT_original_upload,False
999.0,Total,2.0,Female,2022,1.0,First Quarter,Unemployment rate by nationality and sex,Total,16.4,GASTAT_original_upload,False
999.0,Total,999.0,Total,2022,1.0,First Quarter,Unemployment rate by nationality and sex,Total,5.4,GASTAT_original_upload,False
1.0,Saudi,1.0,Male,2022,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,4.9,GASTAT_original_upload,False
1.0,Saudi,2.0,Female,2022,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,19.5,GASTAT_original_upload,False
1.0,Saudi,999.0,Total,2022,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,10.0,GASTAT_original_upload,False
2.0,Non-Saudi,1.0,Male,2022,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,1.5,GASTAT_original_upload,False
2.0,Non-Saudi,2.0,Female,2022,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,6.4,GASTAT_original_upload,False
2.0,Non-Saudi,999.0,Total,2022,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,1.9,GASTAT_original_upload,False
999.0,Total,1.0,Male,2022,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,2.6,GASTAT_original_upload,False
999.0,Total,2.0,Female,2022,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,15.9,GASTAT_original_upload,False
999.0,Total,999.0,Total,2022,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,5.1,GASTAT_original_upload,False
1.0,Saudi,1.0,Male,2022,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,4.4,GASTAT_original_upload,False
1.0,Saudi,2.0,Female,2022,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,20.7,GASTAT_original_upload,False
1.0,Saudi,999.0,Total,2022,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,10.2,GASTAT_original_upload,False
2.0,Non-Saudi,1.0,Male,2022,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,1.3,GASTAT_original_upload,False
2.0,Non-Saudi,2.0,Female,2022,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,6.1,GASTAT_original_upload,False
2.0,Non-Saudi,999.0,Total,2022,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,1.7,GASTAT_original_upload,False
999.0,Total,1.0,Male,2022,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,2.2,GASTAT_original_upload,False
999.0,Total,2.0,Female,2022,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,16.7,GASTAT_original_upload,False
999.0,Total,999.0,Total,2022,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,4.9,GASTAT_original_upload,False
1.0,Saudi,1.0,Male,2022,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,4.3,GASTAT_original_upload,False
1.0,Saudi,2.0,Female,2022,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,15.7,GASTAT_original_upload,False
1.0,Saudi,999.0,Total,2022,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,8.2,GASTAT_original_upload,False
2.0,Non-Saudi,1.0,Male,2022,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,1.1,GASTAT_original_upload,False
2.0,Non-Saudi,2.0,Female,2022,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,6.1,GASTAT_original_upload,False
2.0,Non-Saudi,999.0,Total,2022,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,1.5,GASTAT_original_upload,False
999.0,Total,1.0,Male,2022,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,2.1,GASTAT_original_upload,False
999.0,Total,2.0,Female,2022,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,13.0,GASTAT_original_upload,False
999.0,Total,999.0,Total,2022,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,4.1,GASTAT_original_upload,False
1.0,Saudi,1.0,Male,2023,1.0,First Quarter,Unemployment rate by nationality and sex,Total,4.7,GASTAT_original_upload,False
1.0,Saudi,2.0,Female,2023,1.0,First Quarter,Unemployment rate by nationality and sex,Total,16.3,GASTAT_original_upload,False
1.0,Saudi,999.0,Total,2023,1.0,First Quarter,Unemployment rate by nationality and sex,Total,8.7,GASTAT_original_upload,False
2.0,Non-Saudi,1.0,Male,2023,1.0,First Quarter,Unemployment rate by nationality and sex,Total,1.2,GASTAT_original_upload,False
2.0,Non-Saudi,2.0,Female,2023,1.0,First Quarter,Unemployment rate by nationality and sex,Total,6.4,GASTAT_original_upload,False
2.0,Non-Saudi,999.0,Total,2023,1.0,First Quarter,Unemployment rate by nationality and sex,Total,1.7,GASTAT_original_upload,False
999.0,Total,1.0,Male,2023,1.0,First Quarter,Unemployment rate by nationality and sex,Total,2.3,GASTAT_original_upload,False
999.0,Total,2.0,Female,2023,1.0,First Quarter,Unemployment rate by nationality and sex,Total,13.4,GASTAT_original_upload,False
999.0,Total,999.0,Total,2023,1.0,First Quarter,Unemployment rate by nationality and sex,Total,4.3,GASTAT_original_upload,False
1.0,Saudi,1.0,Male,2023,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,4.6,GASTAT_original_upload,False
1.0,Saudi,2.0,Female,2023,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,15.9,GASTAT_original_upload,False
1.0,Saudi,999.0,Total,2023,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,8.5,GASTAT_original_upload,False
2.0,Non-Saudi,1.0,Male,2023,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,1.1,GASTAT_original_upload,False
2.0,Non-Saudi,2.0,Female,2023,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,5.5,GASTAT_original_upload,False
2.0,Non-Saudi,999.0,Total,2023,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,1.4,GASTAT_original_upload,False
999.0,Total,1.0,Male,2023,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,2.2,GASTAT_original_upload,False
999.0,Total,2.0,Female,2023,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,12.9,GASTAT_original_upload,False
999.0,Total,999.0,Total,2023,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,4.1,GASTAT_original_upload,False
1.0,Saudi,1.0,Male,2023,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,4.7,GASTAT_original_upload,False
1.0,Saudi,2.0,Female,2023,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,16.6,GASTAT_original_upload,False
1.0,Saudi,999.0,Total,2023,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,8.8,GASTAT_original_upload,False
2.0,Non-Saudi,1.0,Male,2023,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,1.1,GASTAT_original_upload,False
2.0,Non-Saudi,2.0,Female,2023,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,6.6,GASTAT_original_upload,False
2.0,Non-Saudi,999.0,Total,2023,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,1.5,GASTAT_original_upload,False
999.0,Total,1.0,Male,2023,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,2.2,GASTAT_original_upload,False
999.0,Total,2.0,Female,2023,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,13.7,GASTAT_original_upload,False
999.0,Total,999.0,Total,2023,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,4.2,GASTAT_original_upload,False
1.0,Saudi,1.0,Male,2023,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,4.6,GASTAT_original_upload,False
1.0,Saudi,2.0,Female,2023,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,13.9,GASTAT_original_upload,False
1.0,Saudi,999.0,Total,2023,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,7.8,GASTAT_original_upload,False
2.0,Non-Saudi,1.0,Male,2023,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,0.6,GASTAT_original_upload,False
2.0,Non-Saudi,2.0,Female,2023,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,4.7,GASTAT_original_upload,False
2.0,Non-Saudi,999.0,Total,2023,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,0.9,GASTAT_original_upload,False
999.0,Total,1.0,Male,2023,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,1.8,GASTAT_original_upload,False
999.0,Total,2.0,Female,2023,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,11.1,GASTAT_original_upload,False
999.0,Total,999.0,Total,2023,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,3.4,GASTAT_original_upload,False
1.0,Saudi,1.0,Male,2024,1.0,First Quarter,Unemployment rate by nationality and sex,Total,4.2,GASTAT_original_upload,False
1.0,Saudi,2.0,Female,2024,1.0,First Quarter,Unemployment rate by nationality and sex,Total,14.2,GASTAT_original_upload,False
1.0,Saudi,999.0,Total,2024,1.0,First Quarter,Unemployment rate by nationality and sex,Total,7.6,GASTAT_original_upload,False
2.0,Non-Saudi,1.0,Male,2024,1.0,First Quarter,Unemployment rate by nationality and sex,Total,0.8,GASTAT_original_upload,False
2.0,Non-Saudi,2.0,Female,2024,1.0,First Quarter,Unemployment rate by nationality and sex,Total,5.4,GASTAT_original_upload,False
2.0,Non-Saudi,999.0,Total,2024,1.0,First Quarter,Unemployment rate by nationality and sex,Total,1.1,GASTAT_original_upload,False
999.0,Total,1.0,Male,2024,1.0,First Quarter,Unemployment rate by nationality and sex,Total,1.8,GASTAT_original_upload,False
999.0,Total,2.0,Female,2024,1.0,First Quarter,Unemployment rate by nationality and sex,Total,11.8,GASTAT_original_upload,False
999.0,Total,999.0,Total,2024,1.0,First Quarter,Unemployment rate by nationality and sex,Total,3.5,GASTAT_original_upload,False
1.0,Saudi,1.0,Male,2024,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,4.0,GASTAT_original_upload,False
1.0,Saudi,2.0,Female,2024,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,12.8,GASTAT_original_upload,False
1.0,Saudi,999.0,Total,2024,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,7.1,GASTAT_original_upload,False
2.0,Non-Saudi,1.0,Male,2024,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,0.8,GASTAT_original_upload,False
2.0,Non-Saudi,2.0,Female,2024,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,5.0,GASTAT_original_upload,False
2.0,Non-Saudi,999.0,Total,2024,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,1.1,GASTAT_original_upload,False
999.0,Total,1.0,Male,2024,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,1.7,GASTAT_original_upload,False
999.0,Total,2.0,Female,2024,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,10.8,GASTAT_original_upload,False
999.0,Total,999.0,Total,2024,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,3.3,GASTAT_original_upload,False
